"dose_def","family","var","label","estimator","estimate","se_analytic","se_boot","d_std","p","q","p_tost","q_tost","class3","n_old","n_new","n_pairs","funnel_ratio","funnel_ratio_supported","funnel_zero_denom","funnel_sparse_gt1","funnel_ncat","exclude_flag","count_exclude","filter_mismatch","nr_routing_flag","routing_followup"
"exact","A_substantive","DQ101","w5問1_意識項目1","naive",0.34239,0.04131,0.04389,0.3235,6.106e-15,8.346e-14,1,1,"affected",2556,887,2379,0.881,0.881,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ101","w5問1_意識項目1","sm",0.24146,0.05033,0.05983,0.2281,5.437e-05,0.0005573,0.9883,0.9992,"affected",2556,539,2379,0.881,0.881,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ101","w5問1_意識項目1","ssm",0.26719,0.05447,0.0637,0.2524,2.731e-05,0.0003341,0.9943,0.9981,"affected",2232,458,2379,0.881,0.881,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ101","w5問1_意識項目1","ec",0.23066,0.04259,0.04634,0.2179,6.452e-07,5.645e-06,0.9965,1,"affected",2556,887,2379,0.881,0.881,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ101","w5問1_意識項目1","ec_adj",0.23093,NA,0.04648,0.2182,6.73e-07,5.889e-06,0.9964,1,"affected",2556,887,2379,0.881,0.881,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ102","w5問2_意識項目2","naive",0.37266,0.04177,0.0418,0.3478,4.838e-19,9.919e-18,1,1,"affected",2549,879,2367,1.026,1.026,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ102","w5問2_意識項目2","sm",0.22878,0.0497,0.0561,0.2135,4.538e-05,0.0005573,0.9849,0.9992,"affected",2549,531,2367,1.026,1.026,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ102","w5問2_意識項目2","ssm",0.24298,0.05281,0.05848,0.2268,3.259e-05,0.0003341,0.9899,0.9981,"affected",2229,449,2367,1.026,1.026,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ102","w5問2_意識項目2","ec",0.25887,0.04288,0.04583,0.2416,1.623e-08,1.894e-07,0.9995,1,"affected",2549,879,2367,1.026,1.026,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ102","w5問2_意識項目2","ec_adj",0.26065,NA,0.04648,0.2433,2.046e-08,2.387e-07,0.9995,1,"affected",2549,879,2367,1.026,1.026,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ103","w5問3_意識項目3","naive",0.42962,0.04327,0.0417,0.3923,6.933e-25,2.843e-23,1,1,"affected",2542,888,2350,0.992,0.992,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ103","w5問3_意識項目3","sm",0.28435,0.05376,0.06724,0.2596,2.347e-05,0.0004812,0.9953,0.9992,"affected",2542,525,2350,0.992,0.992,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ103","w5問3_意識項目3","ssm",0.30584,0.0577,0.06798,0.2793,6.836e-06,0.0001401,0.9981,0.9981,"affected",2225,447,2350,0.992,0.992,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ103","w5問3_意識項目3","ec",0.3049,0.04441,0.0394,0.2784,1.003e-14,3.51e-13,1,1,"affected",2542,888,2350,0.992,0.992,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ103","w5問3_意識項目3","ec_adj",0.30544,NA,0.03936,0.2789,8.536e-15,2.988e-13,1,1,"affected",2542,888,2350,0.992,0.992,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ104","w5問4_意識項目4","naive",-0.14697,0.04276,0.03991,-0.1346,0.0002306,0.0008593,0.8281,1,"affected",2539,891,2350,0.656,0.656,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ104","w5問4_意識項目4","sm",-0.25823,0.05243,0.0474,-0.2365,5.084e-08,2.084e-06,0.9992,0.9992,"affected",2539,536,2350,0.656,0.656,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ104","w5問4_意識項目4","ssm",-0.25299,0.05625,0.05603,-0.2317,6.318e-06,0.0001401,0.9949,0.9981,"affected",2222,456,2350,0.656,0.656,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ104","w5問4_意識項目4","ec",-0.27655,0.04395,0.0404,-0.2533,7.621e-12,1.334e-10,1,1,"affected",2539,891,2350,0.656,0.656,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ104","w5問4_意識項目4","ec_adj",-0.27535,NA,0.04045,-0.2522,9.947e-12,1.741e-10,1,1,"affected",2539,891,2350,0.656,0.656,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ105","w5問5_意識項目5","naive",0.05379,0.04136,0.03539,0.0504,0.1285,0.1424,0.0673,1,"undetermined",2556,882,2392,0.806,0.806,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ105","w5問5_意識項目5","sm",-0.08276,0.04894,0.03816,-0.0775,0.03008,0.2466,0.2649,0.3503,"undetermined",2556,531,2392,0.806,0.806,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ105","w5問5_意識項目5","ssm",-0.04677,0.05277,0.04666,-0.0438,0.3162,0.843,0.09938,0.2177,"undetermined",2233,456,2392,0.806,0.806,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ105","w5問5_意識項目5","ec",-0.06501,0.04259,0.03704,-0.0609,0.07923,0.4203,0.1299,0.1977,"undetermined",2556,882,2392,0.806,0.806,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ105","w5問5_意識項目5","ec_adj",-0.06409,NA,0.03765,-0.06,0.08872,0.4436,0.1287,0.1958,"undetermined",2556,882,2392,0.806,0.806,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ106","w5問6_意識項目6","naive",0.10849,0.04331,0.04547,0.0982,0.01702,0.02493,0.4827,1,"affected",2545,871,2380,0.671,0.671,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ106","w5問6_意識項目6","sm",0.00781,0.05189,0.05457,0.0071,0.8862,0.9421,0.02999,0.09781,"equivalent",2545,524,2380,0.671,0.671,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ106","w5問6_意識項目6","ssm",0.02559,0.05564,0.05702,0.0232,0.6535,0.8917,0.06833,0.1907,"undetermined",2235,450,2380,0.671,0.671,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ106","w5問6_意識項目6","ec",-0.0484,0.04447,0.04609,-0.0438,0.2937,0.9547,0.08909,0.1417,"undetermined",2545,871,2380,0.671,0.671,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ106","w5問6_意識項目6","ec_adj",-0.04769,NA,0.04646,-0.0432,0.3047,0.9777,0.08832,0.1405,"undetermined",2545,871,2380,0.671,0.671,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ107","w5問7_意識項目7","naive",0.19313,0.04096,0.04212,0.1829,4.528e-06,3.094e-05,0.9811,1,"affected",2549,885,2356,0.779,0.779,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ107","w5問7_意識項目7","sm",0.01443,0.04833,0.04517,0.0137,0.7493,0.9421,0.02176,0.09781,"equivalent",2549,529,2356,0.779,0.779,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ107","w5問7_意識項目7","ssm",0.06416,0.05212,0.0538,0.0608,0.233,0.7962,0.2205,0.3229,"undetermined",2231,451,2356,0.779,0.779,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ107","w5問7_意識項目7","ec",0.06605,0.04208,0.04189,0.0625,0.1149,0.5025,0.1725,0.2415,"undetermined",2549,885,2356,0.779,0.779,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ107","w5問7_意識項目7","ec_adj",0.06668,NA,0.04152,0.0631,0.1083,0.4738,0.1743,0.244,"undetermined",2549,885,2356,0.779,0.779,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ108","w5問8_意識項目8","naive",0.10372,0.04209,0.0374,0.0951,0.005553,0.01084,0.4434,1,"affected",2555,891,2383,0.7,0.7,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ108","w5問8_意識項目8","sm",-0.04609,0.05025,0.04757,-0.0423,0.3325,0.8521,0.09285,0.1655,"undetermined",2555,534,2383,0.7,0.7,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ108","w5問8_意識項目8","ssm",0.02856,0.05438,0.05363,0.0262,0.5943,0.8917,0.06672,0.1907,"undetermined",2235,456,2383,0.7,0.7,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ108","w5問8_意識項目8","ec",-0.01788,0.04317,0.03605,-0.0164,0.62,0.9547,0.005725,0.04007,"equivalent",2555,891,2383,0.7,0.7,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ108","w5問8_意識項目8","ec_adj",-0.01635,NA,0.03589,-0.015,0.6488,0.9777,0.004898,0.03429,"equivalent",2555,891,2383,0.7,0.7,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
"exact","A_substantive","DQ109","w5問9_意識項目9","naive",0.12209,0.04251,0.04586,0.1125,0.007761,0.01383,0.6161,1,"affected",2550,880,2369,0.643,0.643,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
