"var","label","set","battery","k","midpoint_declared","in_universe","codes_verified","midpoint_verified","codes","labels","w1_var","entry_wave_ok","in_main","in_main_midpoint","in_rating_all","in_v07_rule","reason","note"
"DQ101","w5問1_意識項目1","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ101",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ102","w5問2_意識項目2","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ102",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ103","w5問3_意識項目3","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ103",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ104","w5問4_意識項目4","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ104",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ105","w5問5_意識項目5","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ105",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ106","w5問6_意識項目6","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ106",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ107","w5問7_意識項目7","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ107",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ108","w5問8_意識項目8","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ108",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ109","w5問9_意識項目9","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ109",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
"DQ110","w5問10_意識項目10","rating","agree5",5,TRUE,TRUE,TRUE,TRUE,"1 2 3 4 5","そう思う | どちらかといえばそう思う | どちらともいえない | どちらかといえばそう思わない | そう思わない","ZQ110",TRUE,TRUE,TRUE,TRUE,TRUE,"","synthetic five-point agreement item"
