"var","label","scale_type","k_labels","n_dk_codes","n_ref_codes","filter_mismatch","nr_routing_flag","base_rate_T1","base_rate_T0"
"DQ101","w5問1_意識項目1","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ102","w5問2_意識項目2","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ103","w5問3_意識項目3","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ104","w5問4_意識項目4","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ105","w5問5_意識項目5","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ106","w5問6_意識項目6","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ107","w5問7_意識項目7","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ108","w5問8_意識項目8","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ109","w5問9_意識項目9","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ110","w5問10_意識項目10","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ111","w5問11_意識項目11","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ112","w5問12_意識項目12","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ113","w5問13_意識項目13","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ114","w5問14_意識項目14","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ115","w5問15_意識項目15","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ116","w5問16_意識項目16","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ117","w5問17_意識項目17","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ118","w5問18_意識項目18","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ119","w5問19_意識項目19","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ120","w5問20_意識項目20","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ121","w5問21_意識項目21","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ122","w5問22_意識項目22","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ123","w5問23_意識項目23","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ124","w5問24_意識項目24","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ125","w5問25_意識項目25","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ126","w5問26_意識項目26","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ127","w5問27_意識項目27","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ128","w5問28_意識項目28","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ129","w5問29_意識項目29","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ130","w5問30_意識項目30","ordinal",5,1,0,FALSE,FALSE,1,1
"DQ131","w5問31_事実項目31","binary",2,0,0,FALSE,FALSE,1,1
"DQ132","w5問32_事実項目32","binary",2,0,0,FALSE,FALSE,1,1
"DQ133","w5問33_事実項目33","binary",2,0,0,FALSE,FALSE,1,1
"DQ134","w5問34_事実項目34","binary",2,0,0,FALSE,FALSE,1,1
"DQ135","w5問35_事実項目35","binary",2,0,0,FALSE,FALSE,1,1
"DQ136","w5問36_労働時間36","continuous",0,0,0,FALSE,FALSE,0.968,0.966
"DQ137","w5問37_労働時間37","continuous",0,0,0,FALSE,FALSE,0.969,0.972
"DQ138","w5問38_労働時間38","continuous",0,0,0,FALSE,FALSE,0.97,0.962
"DQ139","w5問39_労働時間39","continuous",0,0,0,FALSE,FALSE,0.972,0.956
"DQ140","w5問40_労働時間40","continuous",0,0,0,FALSE,FALSE,0.97,0.977
"DQ02","w5_就業","binary",2,0,0,FALSE,FALSE,1,1
"DQ43","w5問43_婚姻","binary",2,0,0,FALSE,FALSE,1,1
