"var","label","n_T1","n_T0","k_labels","scale_type","base_rate_T1","base_rate_T0","filter_mismatch","nr_routing_flag","in_universe"
"DQ101","w5問1_意識項目1",3961,887,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ102","w5問2_意識項目2",3965,879,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ103","w5問3_意識項目3",3951,888,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ104","w5問4_意識項目4",3949,891,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ105","w5問5_意識項目5",3960,882,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ106","w5問6_意識項目6",3965,871,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ107","w5問7_意識項目7",3962,885,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ108","w5問8_意識項目8",3988,891,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ109","w5問9_意識項目9",3956,880,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ110","w5問10_意識項目10",3977,888,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ111","w5問11_意識項目11",3976,876,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ112","w5問12_意識項目12",3973,882,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ113","w5問13_意識項目13",3959,866,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ114","w5問14_意識項目14",3949,873,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ115","w5問15_意識項目15",3954,878,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ116","w5問16_意識項目16",3944,881,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ117","w5問17_意識項目17",3940,893,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ118","w5問18_意識項目18",3956,895,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ119","w5問19_意識項目19",3967,903,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ120","w5問20_意識項目20",3953,860,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ121","w5問21_意識項目21",3944,884,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ122","w5問22_意識項目22",3956,883,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ123","w5問23_意識項目23",3970,888,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ124","w5問24_意識項目24",3968,880,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ125","w5問25_意識項目25",3977,893,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ126","w5問26_意識項目26",3990,898,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ127","w5問27_意識項目27",3948,889,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ128","w5問28_意識項目28",3964,877,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ129","w5問29_意識項目29",3964,880,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ130","w5問30_意識項目30",3979,887,5,"ordinal",1,1,FALSE,FALSE,TRUE
"DQ131","w5問31_事実項目31",4091,948,2,"binary",1,1,FALSE,FALSE,TRUE
"DQ132","w5問32_事実項目32",4079,947,2,"binary",1,1,FALSE,FALSE,TRUE
"DQ133","w5問33_事実項目33",4081,940,2,"binary",1,1,FALSE,FALSE,TRUE
"DQ134","w5問34_事実項目34",4053,941,2,"binary",1,1,FALSE,FALSE,TRUE
"DQ135","w5問35_事実項目35",4068,941,2,"binary",1,1,FALSE,FALSE,TRUE
"DQ136","w5問36_労働時間36",4030,930,0,"continuous",0.968,0.966,FALSE,FALSE,TRUE
"DQ137","w5問37_労働時間37",4033,936,0,"continuous",0.969,0.972,FALSE,FALSE,TRUE
"DQ138","w5問38_労働時間38",4037,926,0,"continuous",0.97,0.962,FALSE,FALSE,TRUE
"DQ139","w5問39_労働時間39",4046,921,0,"continuous",0.972,0.956,FALSE,FALSE,TRUE
"DQ140","w5問40_労働時間40",4041,941,0,"continuous",0.97,0.977,FALSE,FALSE,TRUE
"DQ02","w5_就業",4164,963,2,"binary",1,1,FALSE,FALSE,TRUE
"DQ43","w5問43_婚姻",4164,963,2,"binary",1,1,FALSE,FALSE,TRUE
