"dose_def","var","label","funnel_ncat","funnel_p","funnel_ratio","funnel_ratio_supported","funnel_zero_denom","funnel_sparse_gt1","funnel_missing_mass","funnel_needed_mass","funnel_identity_feasible","reach_new","reach_old_S","answer_new_given_reach","answer_old_S_given_reach","nr_routing_flag"
"any","DQ102","w5問2_意識項目2",5,0.826,1.413,1.413,0,0,0.0872,0.0695,TRUE,1,1,0.9128,0.9522,FALSE
"any","DQ103","w5問3_意識項目3",5,0.8231,1.322,1.322,0,0,0.0779,0.0454,TRUE,1,1,0.9221,0.9488,FALSE
"any","DQ101","w5問1_意識項目1",5,0.8252,1.23,1.23,0,0,0.0789,0.0578,TRUE,1,1,0.9211,0.9512,FALSE
"any","DQ104","w5問4_意識項目4",5,0.8227,1.184,1.184,0,0,0.0748,0.0424,TRUE,1,1,0.9252,0.9484,FALSE
"any","DQ115","w5問15_意識項目15",5,0.8238,1.142,1.142,0,0,0.0883,0.0141,TRUE,1,1,0.9117,0.9496,FALSE
"any","DQ129","w5問29_意識項目29",5,0.8258,1.123,1.123,0,0,0.0862,0.0202,TRUE,1,1,0.9138,0.952,FALSE
"any","DQ117","w5問17_意識項目17",5,0.8208,1.087,1.087,0,0,0.0727,0.0104,TRUE,1,1,0.9273,0.9462,FALSE
"any","DQ105","w5問5_意識項目5",5,0.825,1.067,1.067,0,0,0.0841,0.0125,TRUE,1,1,0.9159,0.951,FALSE
"any","DQ107","w5問7_意識項目7",5,0.8254,1.064,1.064,0,0,0.081,0.014,TRUE,1,1,0.919,0.9515,FALSE
"any","DQ125","w5問25_意識項目25",5,0.8285,1.029,1.029,0,0,0.0727,0.0109,TRUE,1,1,0.9273,0.9551,FALSE
"any","DQ127","w5問27_意識項目27",5,0.8225,1.017,1.017,0,0,0.0768,0.0077,TRUE,1,1,0.9232,0.9481,FALSE
"any","DQ122","w5問22_意識項目22",5,0.8242,1.009,1.009,0,0,0.0831,0.0069,TRUE,1,1,0.9169,0.95,FALSE
"exact","DQ102","w5問2_意識項目2",5,0.531,1.026,1.026,0,0,0.0872,0.0105,TRUE,1,1,0.9128,0.9504,FALSE
